fg%;3p%;ft%;orb;drb;trb;ast;stl;blk;tov;pts;ts%;efg%;3par;ftr;orb%;drb%;trb%;ast%;stl%;blk%;tov%;usg%;ortg;drtg;team;team_opp;total_opp;season;date;won
0.44;0.302;0.75;7.0;41.0;48.0;25.0;7.0;2.0;20.0;99.0;0.544;0.518;0.512;0.19;16.7;75.9;50.0;67.6;6.9;3.8;18.0;100.0;97.3;101.2;MIL;CHO;103;2022;10/01/2022;False
0.396;0.295;0.875;13.0;35.0;48.0;23.0;12.0;3.0;14.0;103.0;0.5;0.464;0.458;0.167;24.1;83.3;50.0;60.5;11.8;7.3;12.0;100.0;101.2;97.3;CHO;MIL;99;2022;10/01/2022;True
0.424;0.385;0.7;18.0;38.0;56.0;21.0;5.0;6.0;15.0;102.0;0.506;0.478;0.283;0.217;35.3;88.4;59.6;53.8;5.2;11.3;13.0;100.0;106.5;103.3;LAL;BRK;99;2018;2/02/2018;True
0.451;0.31;0.696;5.0;33.0;38.0;20.0;7.0;8.0;11.0;99.0;0.537;0.506;0.354;0.28;11.6;64.7;40.4;54.1;7.3;12.1;10.7;100.0;103.3;106.5;BRK;LAL;102;2018;2/02/2018;False
0.537;0.394;0.65;6.0;36.0;42.0;29.0;8.0;3.0;14.0;114.0;0.628;0.616;0.402;0.244;14.0;76.6;46.7;65.9;8.2;5.9;13.4;100.0;116.3;112.2;DEN;PHI;110;2022;14/03/2022;True
0.429;0.364;0.813;11.0;37.0;48.0;25.0;8.0;6.0;13.0;110.0;0.561;0.5;0.393;0.381;23.4;86.0;53.3;69.4;8.2;12.2;11.7;100.0;112.2;116.3;PHI;DEN;114;2022;14/03/2022;False
0.484;0.389;0.684;7.0;22.0;29.0;26.0;11.0;4.0;13.0;115.0;0.579;0.56;0.396;0.209;15.9;68.8;38.2;59.1;10.6;6.9;11.6;100.0;110.8;134.9;BOS;LAC;140;2019;11/03/2019;False
0.616;0.464;0.84;10.0;37.0;47.0;29.0;4.0;1.0;19.0;140.0;0.722;0.692;0.326;0.291;31.3;84.1;61.8;54.7;3.9;1.8;16.4;100.0;134.9;110.8;LAC;BOS;115;2019;11/03/2019;True
0.467;0.3;0.818;20.0;29.0;49.0;25.0;11.0;4.0;10.0;125.0;0.545;0.51;0.286;0.21;38.5;76.3;54.4;51.0;10.8;9.1;8.0;100.0;123.0;124.0;CHI;CHO;126;2020;23/10/2019;False
0.511;0.523;0.813;9.0;32.0;41.0;28.0;3.0;4.0;19.0;126.0;0.663;0.642;0.5;0.182;23.7;61.5;45.6;62.2;3.0;5.3;16.7;100.0;124.0;123.0;CHO;CHI;125;2020;23/10/2019;True
0.5;0.4;0.839;2.0;32.0;34.0;20.0;11.0;7.0;15.0;108.0;0.631;0.569;0.347;0.431;6.1;74.4;44.7;55.6;11.3;12.7;14.9;100.0;110.8;105.6;PHI;BOS;103;2022;20/12/2021;True
0.463;0.259;0.8;11.0;31.0;42.0;16.0;9.0;5.0;18.0;103.0;0.554;0.506;0.329;0.305;25.6;93.9;55.3;42.1;9.2;10.6;16.2;100.0;105.6;110.8;BOS;PHI;108;2022;20/12/2021;False
0.489;0.455;0.65;8.0;21.0;29.0;36.0;10.0;0.0;13.0;114.0;0.589;0.574;0.375;0.227;19.0;65.6;39.2;83.7;10.1;0.0;11.8;100.0;114.8;128.9;PHO;ORL;128;2020;4/12/2019;False
0.576;0.56;0.8;11.0;34.0;45.0;27.0;9.0;7.0;19.0;128.0;0.682;0.659;0.294;0.235;34.4;81.0;60.8;55.1;9.1;12.7;16.8;100.0;128.9;114.8;ORL;PHO;114;2020;4/12/2019;True
0.531;0.421;0.8;3.0;38.0;41.0;28.0;8.0;4.0;11.0;122.0;0.663;0.63;0.469;0.309;8.8;86.4;52.6;65.1;8.1;7.0;10.7;100.0;123.2;109.1;MIA;IND;108;2020;8/01/2020;True
0.476;0.333;0.76;6.0;31.0;37.0;25.0;5.0;3.0;12.0;108.0;0.568;0.53;0.321;0.298;13.6;91.2;47.4;62.5;5.1;7.0;11.2;100.0;109.1;123.2;IND;MIA;122;2020;8/01/2020;False
0.563;0.529;0.926;4.0;30.0;34.0;21.0;7.0;6.0;15.0;114.0;0.688;0.627;0.239;0.38;14.3;76.9;50.7;52.5;7.6;9.1;15.3;100.0;123.7;115.0;MEM;MIN;106;2016;15/11/2015;True
0.5;0.313;0.905;9.0;24.0;33.0;20.0;10.0;2.0;12.0;106.0;0.581;0.53;0.195;0.256;23.1;85.7;49.3;48.8;10.8;3.7;11.6;100.0;115.0;123.7;MIN;MEM;114;2016;15/11/2015;False
0.443;0.25;0.792;7.0;34.0;41.0;15.0;11.0;6.0;13.0;105.0;0.533;0.489;0.364;0.273;14.6;85.0;46.6;38.5;10.7;14.0;11.7;100.0;101.8;117.4;CHI;HOU;121;2019;1/12/2018;False
0.5;0.39;0.7;6.0;41.0;47.0;23.0;8.0;7.0;14.0;121.0;0.622;0.595;0.488;0.357;15.0;85.4;53.4;54.8;7.8;12.5;12.6;100.0;117.4;101.8;HOU;CHI;105;2019;1/12/2018;True
0.427;0.314;0.769;9.0;31.0;40.0;22.0;14.0;2.0;14.0;107.0;0.533;0.489;0.393;0.292;17.6;81.6;44.9;57.9;13.5;3.6;12.2;100.0;102.9;109.7;OKC;NOP;114;2018;20/11/2017;False
0.513;0.28;0.781;7.0;42.0;49.0;26.0;8.0;3.0;19.0;114.0;0.606;0.556;0.313;0.4;18.4;82.4;55.1;63.4;7.7;5.6;16.8;100.0;109.7;102.9;NOP;OKC;107;2018;20/11/2017;True
0.455;0.429;0.75;9.0;33.0;42.0;20.0;7.0;5.0;17.0;98.0;0.525;0.506;0.239;0.136;20.5;80.5;49.4;50.0;7.1;10.9;15.4;100.0;99.5;114.8;MEM;POR;113;2018;1/04/2018;False
0.464;0.316;0.92;8.0;35.0;43.0;28.0;9.0;2.0;13.0;113.0;0.595;0.536;0.452;0.298;19.5;79.5;50.6;71.8;9.1;3.0;12.0;100.0;114.8;99.5;POR;MEM;98;2018;1/04/2018;True
0.451;0.487;0.625;8.0;35.0;43.0;26.0;6.0;3.0;19.0;103.0;0.578;0.567;0.476;0.195;18.6;76.1;48.3;70.3;6.2;7.7;17.6;100.0;106.6;109.8;LAC;PHI;106;2021;16/04/2021;False
0.422;0.318;0.733;11.0;35.0;46.0;21.0;13.0;7.0;12.0;106.0;0.551;0.506;0.53;0.361;23.9;81.4;51.7;60.0;13.5;16.3;11.1;100.0;109.8;106.6;PHI;LAC;103;2021;16/04/2021;True
0.476;0.41;0.95;10.0;41.0;51.0;24.0;4.0;3.0;15.0;113.0;0.622;0.573;0.476;0.244;26.3;85.4;59.3;61.5;4.2;8.1;14.2;100.0;119.6;105.8;DAL;HOU;100;2021;4/01/2021;True
0.39;0.275;0.806;7.0;28.0;35.0;17.0;5.0;4.0;12.0;100.0;0.539;0.461;0.519;0.468;14.6;73.7;40.7;56.7;5.3;9.3;11.4;100.0;105.8;119.6;HOU;DAL;113;2021;4/01/2021;False
0.415;0.323;0.813;15.0;30.0;45.0;18.0;6.0;4.0;11.0;101.0;0.5;0.468;0.33;0.17;34.1;76.9;54.2;46.2;6.7;8.7;9.8;100.0;113.4;95.4;TOR;IND;85;2016;21/04/2016;True
0.382;0.273;0.818;9.0;29.0;38.0;16.0;3.0;6.0;16.0;85.0;0.515;0.426;0.324;0.485;23.1;65.9;45.8;61.5;3.4;9.5;16.2;100.0;95.4;113.4;IND;TOR;101;2016;21/04/2016;False
0.333;0.387;0.842;15.0;26.0;41.0;20.0;10.0;6.0;16.0;84.0;0.455;0.405;0.369;0.226;33.3;65.0;48.2;71.4;11.6;11.3;14.8;100.0;97.3;112.4;MEM;GSW;97;2018;20/12/2017;False
0.459;0.333;0.88;14.0;30.0;44.0;26.0;9.0;8.0;16.0;97.0;0.571;0.507;0.284;0.338;35.0;66.7;51.8;76.5;10.4;15.1;15.8;100.0;112.4;97.3;GSW;MEM;84;2018;20/12/2017;True
0.476;0.41;0.789;9.0;41.0;50.0;20.0;2.0;4.0;13.0;111.0;0.601;0.571;0.464;0.226;21.4;78.8;53.2;50.0;2.1;6.5;12.3;100.0;118.6;104.7;DAL;CLE;98;2019;2/02/2019;True
0.4;0.174;0.788;11.0;33.0;44.0;20.0;7.0;2.0;6.0;98.0;0.492;0.424;0.271;0.388;21.2;78.6;46.8;58.8;7.5;4.4;5.7;100.0;104.7;118.6;CLE;DAL;111;2019;2/02/2019;False
0.348;0.207;0.955;11.0;30.0;41.0;14.0;11.0;5.0;13.0;91.0;0.447;0.38;0.315;0.239;20.8;78.9;45.1;43.8;11.0;8.1;11.3;100.0;90.6;116.5;NYK;PHI;117;2019;28/11/2018;False
0.54;0.48;0.688;8.0;42.0;50.0;34.0;7.0;5.0;16.0;117.0;0.622;0.609;0.287;0.184;21.1;79.2;54.9;72.3;7.0;7.9;14.5;100.0;116.5;90.6;PHI;NYK;91;2019;28/11/2018;True
0.512;0.5;1.0;6.0;23.0;29.0;23.0;7.0;8.0;15.0;99.0;0.576;0.549;0.146;0.11;17.6;65.7;42.0;54.8;7.7;14.5;14.9;100.0;108.8;114.3;BRK;TOR;104;2016;8/03/2016;False
0.474;0.435;0.8;12.0;28.0;40.0;24.0;9.0;7.0;16.0;104.0;0.584;0.538;0.295;0.321;34.3;82.4;58.0;64.9;9.9;10.0;15.2;100.0;114.3;108.8;TOR;BRK;99;2016;8/03/2016;True
0.409;0.243;0.75;14.0;34.0;48.0;24.0;11.0;10.0;18.0;93.0;0.489;0.46;0.42;0.182;31.1;69.4;51.1;66.7;11.6;20.8;15.9;100.0;97.9;95.8;DEN;MIN;91;2022;30/10/2021;True
0.393;0.317;0.889;15.0;31.0;46.0;21.0;8.0;6.0;20.0;91.0;0.489;0.466;0.461;0.101;30.6;68.9;48.9;60.0;8.4;11.8;17.7;100.0;95.8;97.9;MIN;DEN;93;2022;30/10/2021;False
0.463;0.417;0.88;11.0;34.0;45.0;29.0;9.0;6.0;13.0;108.0;0.581;0.524;0.293;0.305;25.6;79.1;52.3;76.3;9.6;9.2;12.3;100.0;114.9;90.4;SAS;MEM;85;2018;24/01/2018;True
0.434;0.111;0.786;9.0;32.0;41.0;19.0;7.0;4.0;17.0;85.0;0.477;0.446;0.217;0.169;20.9;74.4;47.7;52.8;7.4;6.9;16.0;100.0;90.4;114.9;MEM;SAS;108;2018;24/01/2018;False
0.429;0.406;0.667;7.0;34.0;41.0;24.0;6.0;0.0;10.0;95.0;0.507;0.5;0.352;0.066;14.6;73.9;43.6;61.5;6.4;0.0;9.6;100.0;101.2;105.5;MIN;DEN;99;2019;10/04/2019;False
0.448;0.303;0.647;12.0;41.0;53.0;23.0;6.0;4.0;12.0;99.0;0.524;0.506;0.379;0.195;26.1;85.4;56.4;59.0;6.4;6.8;11.3;100.0;105.5;101.2;DEN;MIN;95;2019;10/04/2019;True
0.422;0.353;0.844;11.0;37.0;48.0;19.0;13.0;5.0;11.0;115.0;0.552;0.489;0.378;0.356;21.2;84.1;50.0;50.0;12.7;11.4;9.6;100.0;112.1;106.3;CHO;NOP;109;2019;3/04/2019;True
0.471;0.366;0.824;7.0;41.0;48.0;25.0;7.0;4.0;19.0;109.0;0.589;0.559;0.482;0.2;15.9;78.8;50.0;62.5;6.8;7.1;17.0;100.0;106.3;112.1;NOP;CHO;115;2019;3/04/2019;False
0.524;0.353;0.75;10.0;32.0;42.0;24.0;8.0;4.0;15.0;112.0;0.592;0.56;0.202;0.286;24.4;71.1;48.8;54.5;8.1;6.0;13.7;100.0;113.6;112.6;MIN;PHO;111;2017;24/01/2017;True
0.442;0.368;0.875;13.0;31.0;44.0;20.0;7.0;4.0;15.0;111.0;0.555;0.483;0.221;0.372;28.9;75.6;51.2;52.6;7.1;6.0;13.0;100.0;112.6;113.6;PHO;MIN;112;2017;24/01/2017;False
0.413;0.31;0.667;16.0;44.0;60.0;22.0;2.0;4.0;14.0;103.0;0.509;0.484;0.457;0.228;30.2;84.6;57.1;57.9;2.0;6.3;12.1;100.0;104.6;96.5;UTA;IND;95;2021;7/02/2021;True
0.398;0.276;0.722;8.0;37.0;45.0;23.0;9.0;6.0;9.0;95.0;0.471;0.441;0.312;0.194;15.4;69.8;42.9;62.2;9.1;12.0;8.2;100.0;96.5;104.6;IND;UTA;103;2021;7/02/2021;False
0.549;0.381;0.833;3.0;30.0;33.0;32.0;9.0;5.0;10.0;118.0;0.637;0.598;0.256;0.293;9.1;93.8;50.8;71.1;9.1;9.6;9.8;100.0;118.9;131.0;NYK;DEN;130;2018;25/01/2018;False
0.6;0.5;0.833;2.0;30.0;32.0;36.0;3.0;2.0;13.0;130.0;0.718;0.688;0.35;0.3;6.3;90.9;49.2;75.0;3.0;3.3;12.6;100.0;131.0;118.9;DEN;NYK;118;2018;25/01/2018;True
0.529;0.531;0.875;5.0;35.0;40.0;34.0;9.0;5.0;10.0;116.0;0.641;0.626;0.368;0.092;13.9;70.0;46.5;73.9;9.7;7.4;9.9;100.0;124.9;103.3;IND;SAS;96;2019;24/10/2018;True
0.402;0.316;0.952;15.0;31.0;46.0;16.0;3.0;3.0;13.0;96.0;0.499;0.437;0.218;0.241;30.0;86.1;53.5;45.7;3.2;5.5;11.9;100.0;103.3;124.9;SAS;IND;116;2019;24/10/2018;False
0.494;0.353;0.607;4.0;36.0;40.0;25.0;11.0;12.0;18.0;105.0;0.551;0.53;0.205;0.337;10.5;67.9;44.0;61.0;10.3;15.4;15.9;100.0;98.6;94.8;SAC;PHO;101;2016;11/04/2016;True
0.41;0.227;0.824;17.0;34.0;51.0;21.0;8.0;3.0;19.0;101.0;0.47;0.435;0.22;0.17;32.1;89.5;56.0;51.2;7.5;4.5;15.0;100.0;94.8;98.6;PHO;SAC;105;2016;11/04/2016;False
0.417;0.269;0.714;11.0;26.0;37.0;21.0;6.0;3.0;17.0;92.0;0.493;0.458;0.31;0.25;22.9;83.9;46.8;60.0;6.3;5.8;15.4;100.0;96.0;120.1;CHI;CLE;115;2022;8/12/2021;False
0.55;0.464;0.875;5.0;37.0;42.0;28.0;10.0;8.0;14.0;115.0;0.661;0.631;0.35;0.2;16.1;77.1;53.2;63.6;10.4;13.8;13.9;100.0;120.1;96.0;CLE;CHI;92;2022;8/12/2021;True
0.5;0.267;0.696;13.0;20.0;33.0;23.0;13.0;2.0;20.0;100.0;0.555;0.525;0.188;0.288;31.0;64.5;45.2;57.5;13.8;3.4;18.2;100.0;106.3;113.8;MEM;LAL;107;2016;22/03/2016;False
0.506;0.316;0.958;11.0;29.0;40.0;21.0;10.0;4.0;20.0;107.0;0.611;0.545;0.247;0.312;35.5;69.0;54.8;53.8;10.6;6.2;18.6;100.0;113.8;106.3;LAL;MEM;100;2016;22/03/2016;True
0.429;0.289;0.679;9.0;38.0;47.0;24.0;7.0;7.0;14.0;102.0;0.529;0.494;0.452;0.333;20.9;69.1;48.0;66.7;7.1;10.1;12.7;100.0;104.0;100.9;OKC;MEM;99;2022;20/12/2021;True
0.386;0.344;0.769;17.0;34.0;51.0;24.0;9.0;2.0;12.0;99.0;0.464;0.441;0.317;0.129;30.9;79.1;52.0;61.5;9.2;4.3;10.1;100.0;100.9;104.0;MEM;OKC;102;2022;20/12/2021;False
0.477;0.414;0.9;10.0;26.0;36.0;23.0;9.0;1.0;13.0;112.0;0.591;0.547;0.337;0.233;25.0;78.8;49.3;56.1;9.5;1.8;12.1;100.0;118.0;125.4;NYK;WAS;119;2017;17/11/2016;False
0.543;0.6;0.889;7.0;30.0;37.0;26.0;7.0;2.0;15.0;119.0;0.669;0.636;0.309;0.222;21.2;75.0;50.7;59.1;7.4;3.5;14.4;100.0;125.4;118.0;WAS;NYK;112;2017;17/11/2016;True
0.432;0.413;0.667;10.0;35.0;45.0;23.0;6.0;8.0;14.0;101.0;0.549;0.54;0.523;0.102;21.3;81.4;50.0;60.5;6.2;14.8;13.2;100.0;104.5;105.6;BOS;IND;102;2019;3/11/2018;False
0.419;0.344;0.76;8.0;37.0;45.0;23.0;10.0;2.0;13.0;102.0;0.526;0.483;0.372;0.291;18.6;78.7;50.0;63.9;10.3;4.8;11.8;100.0;105.6;104.5;IND;BOS;101;2019;3/11/2018;True
0.5;0.433;0.857;9.0;30.0;39.0;32.0;3.0;5.0;14.0;117.0;0.596;0.571;0.326;0.152;20.9;66.7;44.3;69.6;3.0;9.6;12.5;100.0;117.2;132.2;GSW;MEM;132;2019;10/04/2019;False
0.49;0.457;0.833;15.0;34.0;49.0;25.0;9.0;0.0;11.0;132.0;0.623;0.597;0.469;0.184;33.3;79.1;55.7;52.1;9.0;0.0;9.4;100.0;132.2;117.2;MEM;GSW;117;2019;10/04/2019;True
0.557;0.464;0.81;1.0;34.0;35.0;28.0;10.0;2.0;11.0;118.0;0.669;0.639;0.354;0.266;2.9;66.7;40.7;63.6;10.4;3.8;11.1;100.0;122.6;100.8;PHO;NYK;97;2022;26/11/2021;True
0.37;0.308;0.773;17.0;34.0;51.0;13.0;7.0;1.0;15.0;97.0;0.477;0.435;0.424;0.239;33.3;97.1;59.3;38.2;7.3;2.0;12.9;100.0;100.8;122.6;NYK;PHO;118;2022;26/11/2021;False
0.461;0.5;0.864;12.0;28.0;40.0;23.0;11.0;4.0;13.0;111.0;0.562;0.517;0.225;0.247;27.3;71.8;48.2;56.1;11.5;9.8;11.6;100.0;115.6;108.3;NYK;BRK;104;2018;14/12/2017;True
0.446;0.286;0.783;11.0;32.0;43.0;21.0;10.0;4.0;17.0;104.0;0.558;0.518;0.506;0.277;28.2;72.7;51.8;56.8;10.4;5.8;15.4;100.0;108.3;115.6;BRK;NYK;111;2018;14/12/2017;False
0.542;0.333;0.9;5.0;32.0;37.0;27.0;10.0;4.0;12.0;102.0;0.584;0.56;0.108;0.12;14.7;91.4;53.6;60.0;10.8;7.5;12.1;100.0;109.7;105.4;MIA;BRK;98;2016;26/01/2016;True
0.507;0.5;0.739;3.0;29.0;32.0;24.0;5.0;2.0;16.0;98.0;0.604;0.57;0.254;0.324;8.6;85.3;46.4;66.7;5.4;2.7;16.5;100.0;105.4;109.7;BRK;MIA;102;2016;26/01/2016;False
0.464;0.286;0.632;8.0;32.0;40.0;25.0;6.0;6.0;11.0;110.0;0.522;0.505;0.289;0.196;17.4;72.7;44.4;55.6;5.8;10.7;9.5;100.0;105.7;116.3;IND;PHI;121;2018;3/11/2017;False
0.5;0.5;0.786;12.0;38.0;50.0;34.0;7.0;9.0;18.0;121.0;0.616;0.598;0.391;0.152;27.3;82.6;55.6;73.9;6.7;13.0;15.5;100.0;116.3;105.7;PHI;IND;110;2018;3/11/2017;True
0.472;0.389;0.926;19.0;32.0;51.0;30.0;16.0;6.0;18.0;139.0;0.59;0.538;0.34;0.255;35.8;84.2;56.0;60.0;13.9;13.0;13.2;100.0;120.8;114.8;PHO;NOP;132;2020;5/12/2019;True
0.506;0.415;0.771;6.0;34.0;40.0;27.0;13.0;9.0;23.0;132.0;0.645;0.603;0.471;0.402;15.8;64.2;44.0;61.4;11.3;12.9;18.3;100.0;114.8;120.8;NOP;PHO;139;2020;5/12/2019;False
0.424;0.273;0.696;9.0;22.0;31.0;20.0;7.0;8.0;11.0;103.0;0.504;0.473;0.359;0.25;18.8;57.9;36.0;51.3;7.1;15.7;9.7;100.0;105.1;135.7;IND;MEM;133;2022;24/03/2022;False
0.538;0.5;0.706;16.0;39.0;55.0;34.0;8.0;9.0;14.0;133.0;0.662;0.651;0.452;0.183;42.1;81.3;64.0;68.0;8.2;15.3;12.2;100.0;135.7;105.1;MEM;IND;103;2022;24/03/2022;True
0.494;0.485;0.875;4.0;33.0;37.0;23.0;9.0;2.0;10.0;116.0;0.617;0.586;0.379;0.184;9.5;78.6;44.0;53.5;8.9;3.6;9.6;100.0;114.3;122.1;BRK;CLE;124;2017;27/01/2017;False
0.533;0.361;0.65;9.0;38.0;47.0;26.0;4.0;5.0;14.0;124.0;0.615;0.603;0.391;0.217;21.4;90.5;56.0;53.1;3.9;9.3;12.2;100.0;122.1;114.3;CLE;BRK;116;2017;27/01/2017;True
0.42;0.125;0.774;6.0;39.0;45.0;20.0;8.0;6.0;16.0;96.0;0.507;0.444;0.395;0.383;13.0;83.0;48.4;58.8;7.7;9.8;14.5;100.0;92.4;115.5;MEM;DEN;120;2021;26/04/2021;False
0.479;0.333;0.864;8.0;40.0;48.0;25.0;8.0;3.0;11.0;120.0;0.579;0.537;0.351;0.234;17.0;87.0;51.6;55.6;7.7;6.1;9.6;100.0;115.5;92.4;DEN;MEM;96;2021;26/04/2021;True
0.38;0.5;0.714;12.0;35.0;47.0;23.0;11.0;6.0;22.0;102.0;0.504;0.473;0.37;0.228;22.2;66.0;43.9;65.7;10.2;9.2;17.9;100.0;94.9;113.6;GSW;MEM;122;2020;12/01/2020;False
0.45;0.314;0.84;18.0;42.0;60.0;33.0;17.0;7.0;16.0;122.0;0.55;0.505;0.35;0.25;34.0;77.8;56.1;73.3;15.8;12.1;12.6;100.0;113.6;94.9;MEM;GSW;102;2020;12/01/2020;True
0.494;0.457;0.714;11.0;31.0;42.0;25.0;10.0;1.0;13.0;112.0;0.601;0.586;0.402;0.161;26.8;91.2;56.0;58.1;10.6;2.9;12.2;100.0;119.0;116.9;PHI;DAL;110;2018;28/10/2017;True
0.514;0.475;0.789;3.0;30.0;33.0;22.0;7.0;2.0;17.0;110.0;0.668;0.642;0.541;0.257;8.8;73.2;44.0;57.9;7.4;3.8;17.1;100.0;116.9;119.0;DAL;PHI;112;2018;28/10/2017;False
0.416;0.4;0.793;8.0;40.0;48.0;25.0;17.0;4.0;12.0;105.0;0.516;0.461;0.225;0.326;17.0;78.4;49.0;67.6;16.4;8.7;10.5;100.0;101.4;93.7;IND;ORL;97;2018;20/11/2017;True
0.417;0.342;0.609;11.0;39.0;50.0;23.0;6.0;7.0;22.0;97.0;0.515;0.494;0.452;0.274;21.6;83.0;51.0;65.7;5.8;10.1;18.9;100.0;93.7;101.4;ORL;IND;105;2018;20/11/2017;False
0.416;0.25;0.857;14.0;37.0;51.0;23.0;4.0;2.0;8.0;103.0;0.481;0.45;0.277;0.139;25.9;90.2;53.7;54.8;4.1;3.2;6.9;100.0;105.7;110.9;POR;SAS;108;2019;16/03/2019;False
0.468;0.471;0.867;4.0;40.0;44.0;17.0;4.0;10.0;10.0;108.0;0.586;0.519;0.215;0.38;9.8;74.1;46.3;45.9;4.1;13.7;9.8;100.0;110.9;105.7;SAS;POR;103;2019;16/03/2019;True
0.414;0.432;0.7;16.0;35.0;51.0;18.0;6.0;9.0;9.0;119.0;0.53;0.495;0.374;0.303;31.4;72.9;51.5;43.9;6.0;13.4;7.4;100.0;118.4;114.4;BRK;POR;115;2020;8/11/2019;True
0.412;0.367;0.96;13.0;35.0;48.0;11.0;3.0;9.0;10.0;115.0;0.532;0.469;0.309;0.258;27.1;68.6;48.5;27.5;3.0;14.5;8.5;100.0;114.4;118.4;POR;BRK;119;2020;8/11/2019;False
0.489;0.4;0.679;14.0;33.0;47.0;22.0;8.0;3.0;11.0;119.0;0.57;0.543;0.272;0.304;32.6;73.3;53.4;48.9;8.2;4.6;9.5;100.0;122.1;118.0;LAC;NYK;115;2017;8/02/2017;True
0.5;0.296;0.833;12.0;29.0;41.0;25.0;9.0;5.0;11.0;115.0;0.575;0.543;0.293;0.196;26.7;67.4;46.6;54.3;9.2;7.5;9.9;100.0;118.0;122.1;NYK;LAC;119;2017;8/02/2017;False
0.516;0.368;0.714;6.0;37.0;43.0;32.0;6.0;5.0;13.0;120.0;0.605;0.591;0.409;0.151;14.6;82.2;50.0;66.7;5.8;7.8;11.6;100.0;116.6;104.0;BOS;LAL;107;2019;9/03/2019;True
0.484;0.185;0.778;8.0;35.0;43.0;28.0;4.0;4.0;12.0;107.0;0.541;0.511;0.297;0.198;17.8;85.4;50.0;63.6;3.9;7.3;10.8;100.0;104.0;116.6;LAL;BOS;120;2019;9/03/2019;False
0.605;0.481;0.793;5.0;24.0;29.0;32.0;7.0;3.0;8.0;140.0;0.709;0.68;0.314;0.337;15.6;70.6;43.9;61.5;7.1;6.1;7.5;100.0;141.9;131.8;PHO;DEN;130;2022;24/03/2022;True
0.593;0.469;0.704;10.0;27.0;37.0;27.0;5.0;2.0;16.0;130.0;0.7;0.685;0.395;0.333;29.4;84.4;56.1;56.3;5.1;3.4;14.7;100.0;131.8;141.9;DEN;PHO;140;2022;24/03/2022;False
0.457;0.458;0.839;7.0;28.0;35.0;22.0;9.0;7.0;14.0;111.0;0.586;0.525;0.296;0.383;19.4;63.6;43.8;59.5;9.3;14.0;12.9;100.0;114.4;121.6;MIA;MEM;118;2020;16/12/2019;False
0.488;0.361;0.7;16.0;29.0;45.0;28.0;4.0;6.0;15.0;118.0;0.595;0.564;0.419;0.349;36.4;80.6;56.3;66.7;4.1;10.5;13.1;100.0;121.6;114.4;MEM;MIA;111;2020;16/12/2019;True
0.447;0.465;0.857;12.0;27.0;39.0;30.0;9.0;6.0;12.0;116.0;0.579;0.553;0.457;0.149;25.5;71.1;45.9;71.4;9.3;11.3;10.7;100.0;120.4;113.1;OKC;TOR;109;2019;22/03/2019;True
0.5;0.52;0.857;11.0;35.0;46.0;20.0;7.0;7.0;21.0;109.0;0.625;0.583;0.321;0.269;28.9;74.5;54.1;51.3;7.3;13.7;19.4;100.0;113.1;120.4;TOR;OKC;116;2019;22/03/2019;False
0.482;0.357;0.688;12.0;30.0;42.0;26.0;12.0;5.0;20.0;96.0;0.533;0.512;0.169;0.193;30.8;83.3;56.0;65.0;12.6;8.9;18.2;100.0;100.6;104.8;PHO;MIL;100;2017;26/02/2017;False
0.513;0.3;0.889;6.0;27.0;33.0;26.0;10.0;6.0;19.0;100.0;0.596;0.553;0.263;0.237;16.7;69.2;44.0;66.7;10.5;8.7;18.5;100.0;104.8;100.6;MIL;PHO;96;2017;26/02/2017;True
0.439;0.286;0.903;9.0;36.0;45.0;20.0;11.0;2.0;14.0;108.0;0.565;0.488;0.341;0.378;20.5;67.9;46.4;55.6;11.2;3.6;12.8;100.0;109.9;88.6;CLE;NYK;87;2020;10/11/2019;True
0.36;0.29;0.64;17.0;35.0;52.0;19.0;11.0;8.0;21.0;87.0;0.448;0.413;0.36;0.291;32.1;79.5;53.6;61.3;11.2;14.8;17.8;100.0;88.6;109.9;NYK;CLE;108;2020;10/11/2019;False
0.452;0.242;0.769;10.0;32.0;42.0;21.0;8.0;5.0;14.0;104.0;0.545;0.5;0.393;0.31;22.2;78.0;48.8;55.3;8.3;9.6;12.8;100.0;107.8;118.2;LAC;DEN;114;2020;12/01/2020;False
0.481;0.44;0.784;9.0;35.0;44.0;24.0;7.0;4.0;13.0;114.0;0.611;0.552;0.325;0.481;22.0;77.8;51.2;64.9;7.3;7.8;12.2;100.0;118.2;107.8;DEN;LAC;104;2020;12/01/2020;True
0.448;0.325;0.786;16.0;28.0;44.0;16.0;5.0;6.0;6.0;118.0;0.531;0.51;0.381;0.133;29.1;77.8;48.4;34.0;5.0;10.0;5.1;100.0;118.9;128.0;POR;GSW;127;2020;4/11/2019;False
0.488;0.385;0.917;8.0;39.0;47.0;28.0;4.0;4.0;10.0;127.0;0.624;0.547;0.302;0.419;22.2;70.9;51.6;66.7;4.0;6.2;8.9;100.0;128.0;118.9;GSW;POR;118;2020;4/11/2019;True
0.435;0.485;0.786;9.0;38.0;47.0;24.0;5.0;11.0;12.0;112.0;0.575;0.529;0.388;0.329;20.5;82.6;52.2;64.9;5.0;13.9;11.0;100.0;111.3;109.3;DET;CLE;110;2016;13/04/2016;True
0.474;0.389;0.733;8.0;35.0;43.0;21.0;4.0;7.0;10.0;110.0;0.531;0.51;0.186;0.155;17.4;79.5;47.8;45.7;4.0;13.5;8.8;100.0;109.3;111.3;CLE;DET;112;2016;13/04/2016;False
